Prompt_ID,Prompt,Trial,TTFT_ms,TPS
1,भारत का प्रधानमंत्री कौन है?,1,158.84852409362793,64.50832195470964
1,भारत का प्रधानमंत्री कौन है?,2,102.15520858764648,60.348377992308656
1,भारत का प्रधानमंत्री कौन है?,3,103.33085060119629,61.49616329288233
2,ताजमहल कहाँ स्थित है?,1,98.89483451843262,61.82010915160187
2,ताजमहल कहाँ स्थित है?,2,99.32255744934082,59.47255889150278
2,ताजमहल कहाँ स्थित है?,3,157.67645835876465,65.09940675985213
3,पानी क्यों जरूरी होता है?,1,101.33576393127441,63.63088146656579
3,पानी क्यों जरूरी होता है?,2,99.92361068725586,60.920872659476856
3,पानी क्यों जरूरी होता है?,3,99.95222091674805,63.20925736012725
4,भारत में कितने राज्य हैं?,1,98.62828254699707,60.73669106336098
4,भारत में कितने राज्य हैं?,2,150.3310203552246,65.8889175144367
4,भारत में कितने राज्य हैं?,3,99.00307655334473,59.93165086299466
5,स्वास्थ्य ही धन क्यों है?,1,154.61421012878418,65.57318204338054
5,स्वास्थ्य ही धन क्यों है?,2,100.98052024841309,63.72982699836797
5,स्वास्थ्य ही धन क्यों है?,3,153.82957458496094,62.49896066129062
6,गर्मी से कैसे बचा जा सकता है?,1,100.44336318969727,63.50774135659299
6,गर्मी से कैसे बचा जा सकता है?,2,152.25839614868164,65.51888319176615
6,गर्मी से कैसे बचा जा सकता है?,3,101.26137733459473,60.501229482244234
7,आपका नाम क्या है?,1,155.15995025634766,65.85400280573613
7,आपका नाम क्या है?,2,98.93012046813965,59.92788314881198
7,आपका नाम क्या है?,3,98.1893539428711,62.49597135823822
